qid,topic,parent_qid,question_text,parent_question_text,is_multi_part,alt_match_texts
A.1a,Community Demographics,A.1,How many households do you estimate are in your catchment area?,How many households do you estimate are in your catchment area? Please explain how you estimated this number.,True,how many households do you estimate are in your catchment area
A.1b,Community Demographics,A.1,How did you estimate the number of households in your catchment area?,How many households do you estimate are in your catchment area? Please explain how you estimated this number.,True,how many households do you estimate are in your catchment area
A.2a,Community Demographics,A.2,What percentage of households in your community have a main language that is not Hausa?,"Of the households in your community, what percentage of them have a main language that is not Hausa? What other language(s) do they speak?",True,
A.2b,Community Demographics,A.2,What other language or languages do the non-Hausa households speak?,"Of the households in your community, what percentage of them have a main language that is not Hausa? What other language(s) do they speak?",True,
A.3,Community Demographics,A.3,How many internally displaced persons (IDPs) do you estimate are in your catchment area?,How many internally displaced persons (IDPs) do you estimate are in your catchment area?,False,
A.4,Community Demographics,A.4,How many nomadic households do you estimate pass through your catchment area every year?,How many nomadic households do you estimate pass through your catchment area every year?,False,
A.5a,Community Demographics,A.5,What is the approximate number of children under age of 5 in your catchment area?,"What is the approximate number of children under age of 5 in your catchment area? How many of them died in your catchment area during last year? What were the biggest causes of death? How many died of Fever, Diarrhea, or something else?",True,approximate number of children under the age of 5 in your catchment area
A.5b,Community Demographics,A.5,How many children under 5 died in your catchment area during the last year?,"What is the approximate number of children under age of 5 in your catchment area? How many of them died in your catchment area during last year? What were the biggest causes of death? How many died of Fever, Diarrhea, or something else?",True,approximate number of children under the age of 5 in your catchment area
A.5c,Community Demographics,A.5,What were the biggest causes of death among children under 5 in your catchment area?,"What is the approximate number of children under age of 5 in your catchment area? How many of them died in your catchment area during last year? What were the biggest causes of death? How many died of Fever, Diarrhea, or something else?",True,approximate number of children under the age of 5 in your catchment area
A.5d,Community Demographics,A.5,"How many children under 5 died of Fever, Diarrhea, or something else?","What is the approximate number of children under age of 5 in your catchment area? How many of them died in your catchment area during last year? What were the biggest causes of death? How many died of Fever, Diarrhea, or something else?",True,approximate number of children under the age of 5 in your catchment area
A.6a,Community Demographics,A.6,What is the approximate number of children under 5 in your catchment area who have never been vaccinated?,What is the approximate number of children under 5 in your catchment area who have never been vaccinated? What are their characteristics?,True,
A.6b,Community Demographics,A.6,What are the characteristics of the children under 5 who have never been vaccinated?,What is the approximate number of children under 5 in your catchment area who have never been vaccinated? What are their characteristics?,True,
A.7a,Community Demographics,A.7,When was the last maternal and child health week in your catchment area?,"When was the last maternal and child health week in your catchment area? During that week, what percentage of children under 5 in your catchment area got Vitamin A Supplementation (VAS)? Why do you think those children did not get VAS?",True,last maternal and child health week in your catchment area
A.7b,Community Demographics,A.7,"During that week, what percentage of children under 5 in your catchment area got Vitamin A Supplementation (VAS)?","When was the last maternal and child health week in your catchment area? During that week, what percentage of children under 5 in your catchment area got Vitamin A Supplementation (VAS)? Why do you think those children did not get VAS?",True,last maternal and child health week in your catchment area
A.7c,Community Demographics,A.7,Why do you think those children did not get Vitamin A Supplementation (VAS)?,"When was the last maternal and child health week in your catchment area? During that week, what percentage of children under 5 in your catchment area got Vitamin A Supplementation (VAS)? Why do you think those children did not get VAS?",True,last maternal and child health week in your catchment area
B.1a,Malaria,B.1,Approximately how many children under 5 are there in your catchment area?,"Approximately, how many children under 5 are there in your catchment area? During the last year, approximately how many of those children got Malaria? Are you estimating based on the presence of fever, or is the estimate based on tests (i.e. rapid diagnostic tests (RDTs))? Of these children who got malaria, how many passed away?",True,approximately how many children under 5 are there in your catchment area
B.1b,Malaria,B.1,"During the last year, approximately how many of those children under 5 got Malaria?","Approximately, how many children under 5 are there in your catchment area? During the last year, approximately how many of those children got Malaria? Are you estimating based on the presence of fever, or is the estimate based on tests (i.e. rapid diagnostic tests (RDTs))? Of these children who got malaria, how many passed away?",True,approximately how many children under 5 are there in your catchment area
B.1c,Malaria,B.1,"Are you estimating malaria cases based on the presence of fever, or based on rapid diagnostic tests (RDTs)?","Approximately, how many children under 5 are there in your catchment area? During the last year, approximately how many of those children got Malaria? Are you estimating based on the presence of fever, or is the estimate based on tests (i.e. rapid diagnostic tests (RDTs))? Of these children who got malaria, how many passed away?",True,approximately how many children under 5 are there in your catchment area
B.1d,Malaria,B.1,"Of the children under 5 who got malaria, how many passed away?","Approximately, how many children under 5 are there in your catchment area? During the last year, approximately how many of those children got Malaria? Are you estimating based on the presence of fever, or is the estimate based on tests (i.e. rapid diagnostic tests (RDTs))? Of these children who got malaria, how many passed away?",True,approximately how many children under 5 are there in your catchment area
B.2,Malaria,B.2,How does the number of children under 5 that passed away in your catchment due to malaria in the last year compare to when you started working as a community health worker?,How does the number of children under 5 that passed away in your catchment due to malaria in the last year compare to when you started working as a community health worker?,False,
B.3,Malaria,B.3,How do people in your catchment area find out whether their children under 5 have malaria?,How do people in your catchment area find out whether their children under 5 have malaria?,False,
B.4a,Malaria,B.4,"When a child under 5 in your catchment area gets malaria, where do they typically go for treatment?","When a child under 5 in your catchment area gets malaria, where do they typically go for treatment (e.g. health facility, pharmacy, traditional healer, Patent and Proprietary Medicine Vendors (PPMVs))? What treatment do they offer?",True,
B.4b,Malaria,B.4,What treatment do they offer for malaria?,"When a child under 5 in your catchment area gets malaria, where do they typically go for treatment (e.g. health facility, pharmacy, traditional healer, Patent and Proprietary Medicine Vendors (PPMVs))? What treatment do they offer?",True,
